1,LARC-23-3,LARCENY - SHOPLIFTING,2023-11-09,1418,6300 RICHMOND HWY,ALEXANDRIA,VA,22303
1,SERV-39,SERVICE - AVI THREAT SCHOOL,2023-11-09,1440,2300 NORDOK PL,ALEXANDRIA,VA,22306
1,SERV-39,SERVICE - AVI THREAT SCHOOL,2023-11-09,1440,2300 NORDOK PL,ALEXANDRIA,VA,22306
1,EXTOR-210-1,EXTORTION/BLACKMAIL,2023-11-09,1416,9700 VIEWCREST DR,FAIRFAX STATION,VA,22039
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-11-09,1420,7900 AUDUBON AVE,ALEXANDRIA,VA,22306
1,DISORD-90C-2,DISORDERLY - DISORDERLY CONDUCT,2023-11-09,1510,9900 CAPPERTON DR,OAKTON,VA,22124
1,SUSP-2,SUSPICIOUS - PERSON,2023-11-09,1506,8800 LORTON RD,LORTON,VA,22079
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-11-09,1601,13700 MAPLE SUGAR LN,HERNDON,VA,20171
2,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-11-09,1505,6400 LAKE MEADOW DR,BURKE,VA,22015
1,SEX-90Z-2,SEX - OTHER NON-FORCIBLE SEX VIOLATION,2023-11-09,1532,2900 STUART DR,FALLS CHURCH,VA,22042
1,PARK-90Z-1,PARKING - INOPERATIVE/ABANDONED VEHICLE,2023-11-09,1630,6100 DINWIDDIE ST,SPRINGFIELD,VA,22150
1,SERV-1,SERVICE - POLICE SERVICE,2023-11-09,1604,9800 GEORGETOWN PIKE,GREAT FALLS,VA,22066
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-11-09,1515,6900 HICKORY HILL AVE,MCLEAN,VA,22101
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-11-09,1605,1000 JEFF RYAN DR,HERNDON,VA,20170
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-11-09,1605,1000 JEFF RYAN DR,HERNDON,VA,20170
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-11-09,1602,3000 HICKORY GROVE CT,FAIRFAX,VA,22031
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-11-09,1636,8700 VICTORIA RD,SPRINGFIELD,VA,22151
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2023-11-09,1639,12200 MEADOWSTREAM CT,HERNDON,VA,20170
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-11-09,1600,9100 AVENTON CT,LORTON,VA,22079
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-11-09,1700,6100 CUMBERLAND AVE,SPRINGFIELD,VA,22150
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-11-09,1614,2200 CEDAR COVE CT,RESTON,VA,20191
1,SERV-1,SERVICE - POLICE SERVICE,2023-11-09,1731,11100 RESTON STATION BLVD,RESTON,VA,20190
1,SERV-1,SERVICE - POLICE SERVICE,2023-11-09,1636,5500 SEMINARY RD,FALLS CHURCH,VA,22041
